token,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z,pca_2d_x,pca_2d_y
was,-0.6691405,-0.23282488,-66.75219,6.698252,76.93363,-0.5886992,-1.4234648
##hema,-7.4420347,-3.0280206,39.300446,-56.01568,-9.99802,-0.58590573,0.7964813
list,-5.655572,-0.54565996,108.67147,-8.119863,-40.716763,-1.2798597,0.6746119
cl,-3.7314198,-4.988539,49.82343,-68.006645,94.78512,-0.3567611,0.4386017
of,-0.18156162,-0.49600866,-59.78971,-97.30306,7.646017,-0.4580129,-1.1741277
exact,-5.74057,2.923391,-71.76463,104.06451,12.529007,0.7231858,0.37612233
format,-7.3011355,0.8627923,12.43014,-53.898396,-124.46827,0.15226278,1.2501338
##fication,-7.810742,-3.1116078,-99.114,56.149155,18.843002,-0.16044985,0.9369947
boo,-9.379733,-4.2799206,42.190914,66.75492,45.603134,0.60678315,0.33945003
valid,-5.002618,-4.4686627,-68.71195,51.030888,-111.53221,0.4363435,0.8767327
`,-0.3454956,-4.154097,11.133586,120.59845,53.930874,-0.2613631,-0.40491837
##db,-7.150217,-4.646769,65.076866,-40.743507,48.04521,-0.16437654,1.4897994
date,-6.8786573,-1.462083,65.81639,-11.638343,-19.79346,-0.9290445,1.1499367
4,-4.2572107,-2.209589,19.592821,-12.627856,74.78357,-1.3300439,0.3371158
table,-5.9272614,0.063565336,5.8044815,-37.181557,115.64316,-0.85781753,0.6785303
question,-7.3518577,4.5427785,34.519936,-22.300127,18.205656,0.9837728,-0.032338977
german,-6.550142,1.5807605,-9.516224,-86.994804,117.25964,-1.0395987,0.464011
sql,-4.312569,6.073048,-128.14111,32.43659,-23.54511,2.3018425,1.0287305
dd,-3.8413599,-6.214454,9.143198,-101.34028,-86.27183,0.3002532,0.98241174
',0.21539995,-3.3721902,1.6854479,87.160225,87.66363,-1.1154134,-1.101839
5,-3.9164634,-2.188889,33.862564,-2.5001252,109.43139,-1.4718786,0.24586585
fields,-2.4493268,2.318071,-25.787422,13.870587,-73.24078,0.35866565,-0.03744475
be,0.50679684,2.2997985,10.0653,-133.03331,13.415984,1.1099503,-1.704444
user,-4.4790177,4.6619062,6.3961124,113.97649,-60.083656,0.32540423,0.45895252
in,-1.1232697,0.10189211,-75.973145,-26.169798,-89.829025,-0.493154,-1.1511946
