timestamp,gpu_index,gpu_name,temperature_c,power_w,power_limit_w,gpu_util_percent,vram_util_percent,vram_used_mb,vram_total_mb,fan_speed_percent,clock_gpu_mhz,clock_mem_mhz,perf_state,active_processes
2025-07-15 23:00:53,0,NVIDIA GeForce RTX 4070,57,200.717,215.0,97,100,10628.81,12282.0,30,2850,10251,2,1
2025-07-15 23:00:58,0,NVIDIA GeForce RTX 4070,58,202.209,215.0,98,100,10628.81,12282.0,31,2835,10251,2,1
2025-07-15 23:01:04,0,NVIDIA GeForce RTX 4070,59,203.524,215.0,97,99,10659.0,12282.0,34,2835,10251,2,1
2025-07-15 23:01:09,0,NVIDIA GeForce RTX 4070,61,206.363,215.0,96,100,10677.94,12282.0,37,2835,10251,2,1
2025-07-15 23:01:14,0,NVIDIA GeForce RTX 4070,61,207.335,215.0,98,96,10716.44,12282.0,40,2835,10251,2,1
2025-07-15 23:01:19,0,NVIDIA GeForce RTX 4070,62,205.039,215.0,97,100,10704.25,12282.0,42,2820,10251,2,1
2025-07-15 23:01:24,0,NVIDIA GeForce RTX 4070,62,204.992,215.0,97,99,10684.88,12282.0,43,2820,10251,2,1
2025-07-15 23:01:29,0,NVIDIA GeForce RTX 4070,63,204.596,215.0,98,99,10684.81,12282.0,45,2805,10251,2,1
2025-07-15 23:01:34,0,NVIDIA GeForce RTX 4070,63,205.316,215.0,98,99,10684.81,12282.0,46,2820,10251,2,1
2025-07-15 23:01:39,0,NVIDIA GeForce RTX 4070,64,207.993,215.0,97,100,10706.5,12282.0,47,2805,10251,2,1
2025-07-15 23:01:44,0,NVIDIA GeForce RTX 4070,64,208.944,215.0,97,100,10684.88,12282.0,48,2805,10251,2,1
2025-07-15 23:01:49,0,NVIDIA GeForce RTX 4070,49,34.255,215.0,6,2,10618.62,12282.0,48,2535,10251,2,1
2025-07-15 23:01:54,0,NVIDIA GeForce RTX 4070,47,33.673,215.0,3,2,10618.62,12282.0,39,2535,10251,2,1
2025-07-15 23:01:59,0,NVIDIA GeForce RTX 4070,46,32.835,215.0,0,1,10622.62,12282.0,33,2535,10251,2,1
2025-07-15 23:02:04,0,NVIDIA GeForce RTX 4070,45,18.415,215.0,3,5,10622.62,12282.0,30,1785,810,5,1
2025-07-15 23:02:09,0,NVIDIA GeForce RTX 4070,44,17.679,215.0,11,14,10634.62,12282.0,30,855,810,5,1
2025-07-15 23:02:14,0,NVIDIA GeForce RTX 4070,44,17.553,215.0,27,21,10665.81,12282.0,30,540,810,5,1
2025-07-15 23:02:19,0,NVIDIA GeForce RTX 4070,43,16.313,215.0,6,25,10668.38,12282.0,30,315,405,8,1
2025-07-15 23:02:24,0,NVIDIA GeForce RTX 4070,42,15.837,215.0,9,25,10601.19,12282.0,30,330,405,8,1
2025-07-15 23:02:29,0,NVIDIA GeForce RTX 4070,42,17.92,215.0,7,13,10615.25,12282.0,30,1695,810,5,1
2025-07-15 23:02:34,0,NVIDIA GeForce RTX 4070,42,18.482,215.0,25,22,10653.5,12282.0,30,780,810,5,1
2025-07-15 23:02:39,0,NVIDIA GeForce RTX 4070,41,17.531,215.0,1,7,10674.56,12282.0,30,1530,810,5,1
